track_name,artist_name,genre,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,valence
Flowers (15),David Bowie,Pop,90,0.930606804846537,0.17334305297528085,0.3207245244599576,0.09834492159021313,11,0.19510882002421004,-21.64604127253962,0.7926774877946268,80.1022299594448,0.8263631848564645
Anti-Hero (16),Dua Lipa,Indie,85,0.4973124461689724,0.48581742891263147,0.5624293741179209,0.4492745469566498,8,0.892611328044147,-3.1058142822211394,0.8875624584126831,140.01819443143256,0.26729508207650454
Uptown Funk (17),Ariana Grande,Classical,32,0.23025092071051467,0.11692353552539148,0.2794453073189026,0.9404971985130107,10,0.4586498980810759,-10.913435139919656,0.28301696588376957,108.40604620797153,0.27754665929802425
Uptown Funk (18),Ariana Grande,Pop,92,0.04456382344867915,0.682153161561635,0.7825001443802936,0.9528343891705844,8,0.6769767523110285,-8.079477077376708,0.4379639639625684,168.0548342338957,0.5223833054267352
As It Was (19),Taylor Swift,Classical,48,0.4156421866859057,0.949899668246076,0.8865025266419025,0.2393322865473586,5,0.4972408478806435,-2.459684697169486,0.35499504103835355,112.7250307905817,0.4307611583617351
Shut Up and Dance (20),Coldplay,Jazz,52,0.3019167000775018,0.1370894580787565,0.39864249421306397,0.6241134200456544,6,0.09399092941660203,-2.6438254546497753,0.0725470129866519,108.97376005288893,0.6481158442846954
Flowers (21),Dua Lipa,Rock,58,0.7610883060238756,0.7338831308025413,0.862922393510989,0.47407626410785764,1,0.2907223076206651,-7.8316246026381755,0.6732042460158094,106.95106212182972,0.36429075467357896
Levitating (22),Ed Sheeran,Dance,59,0.3542677648410466,0.632238150867861,0.2670750074563324,0.875685127586106,8,0.983731853997006,-24.06526713476031,0.8251929348056901,94.48528272682441,0.23055064907036682
Uptown Funk (23),The Weeknd,Indie,68,0.9490711963148439,0.5836050370080997,0.5346609230755238,0.27143086427605323,11,0.9607147516698173,-4.698800379749837,0.3048793573912071,138.15304742771104,0.46980856288290107
One Dance (24),Ariana Grande,Indie,54,0.9623102029877842,0.39012023468833923,0.858761429838704,0.003702406832416849,0,0.3204868976555473,-23.88671897426809,0.9901757936307183,96.821360233421,0.5609564994971462
Heat Waves (25),Ed Sheeran,R&B,37,0.6209085902177081,0.35513164775381256,0.3258813426157904,0.1625612059314151,0,0.9962968042452258,-7.713035577047041,0.07585155728235493,122.46311597902908,0.14260005382969043
Shut Up and Dance (26),Miley Cyrus,Country,87,0.9286602870148829,0.04524918901888786,0.9540422650780858,0.34952280116939805,2,0.8455511954968996,-9.43190800365377,0.6617907138145209,126.09720522556489,0.5567186257331653
Levitating (27),Post Malone,Jazz,45,0.7608543445144956,0.21790870825201347,0.12187950178138363,0.3157211297704886,11,0.6109594994322547,-7.2333344957866,0.44822801452608896,82.04920468779744,0.31925670524789684
One Dance (28),Post Malone,Jazz,30,0.5468596409751262,0.015176882286826898,0.018275069723506232,0.7913629191228859,5,0.04012462026100949,-14.019429578585529,0.4466019011066559,81.68072798211425,0.3924518848685079
Flowers (29),Coldplay,Electronic,34,0.18030793542277812,0.5814171055820205,0.9041353525781907,0.6805606661388378,4,0.9014468295383795,-10.838214532523413,0.45764561603354026,132.02126887568292,0.27931812906328124
Blinding Lights (30),Queen,Classical,32,0.45859794351384,0.10585323587790885,0.06864866614787224,0.29955631961489726,1,0.5574292792643197,-1.400397586972339,0.2586817738014284,149.60347322291324,0.9314103277930599
One Dance (31),The Weeknd,Country,94,0.5608744633626176,0.8730193940297161,0.9918891959474917,0.4577438171662134,8,0.8684761512027696,-26.967342174773552,0.7155628273322324,174.21424822804045,0.6833362812802138
Wonderwall (32),Travis Scott,Rock,33,0.8639615807350102,0.5231430206971652,0.9513968619791061,0.09555910395833522,9,0.8344291199057423,-20.7345817565514,0.7215765260850269,97.91192841569551,0.2624603114006834
Shut Up and Dance (33),Travis Scott,Rock,93,0.4813333765356649,0.6996899090587084,0.13702091003632066,0.8981464448201008,3,0.8330062152010861,-11.659289607048528,0.282397110105827,90.32588094360825,0.6450313345519502
Sunroof (34),Billie Eilish,Jazz,39,0.8976746726779566,0.41085709184049646,0.5375846256925658,0.9354248244485341,3,0.6981738607149051,-1.0783760960553188,0.8353064608584502,85.2087906927151,0.8485724095820462
One Dance (35),Travis Scott,Rock,50,0.6743489790234689,0.5605798090010486,0.18492029746714433,0.9798035353809381,4,0.2914151386760486,-27.132766570121966,0.31684494365033,123.60415829129502,0.40163020833276863
Bohemian Rhapsody (36),Miley Cyrus,R&B,75,0.13699906305367138,0.9426591769666305,0.42815517303011985,0.8685528307858377,7,0.33616025774451985,-29.323523354097407,0.7250931239865422,142.31473673359568,0.8299575091561823
Blinding Lights (37),Miley Cyrus,Indie,56,0.994981369325093,0.08273403962367076,0.06142512925983268,0.17396088769622553,9,0.30846921258268634,-28.32751204589016,0.12099976751206643,164.0553356751264,0.15441494433999237
Fix You (38),Post Malone,Hip-Hop,95,0.5272326607539126,0.25393777192369615,0.22392458779658952,0.046196483201628835,3,0.020045999532564696,-28.427829406164037,0.16870164280374567,148.26448822931314,0.822781364866168
Fix You (39),Dua Lipa,Dance,70,0.3918582964090789,0.7799883269105443,0.36327279639889953,0.579596727412674,4,0.5825689092148112,-2.7655242666778683,0.31579564450825115,100.83607890748573,0.5402942426723664
Skinny Love (40),Coldplay,Electronic,42,0.6591137644695265,0.09873720688266585,0.4386475002460548,0.9126050268831104,11,0.6988336704460328,-8.36226276198526,0.5938737676678615,126.1770366396279,0.2229744880099821
Wonderwall (41),Taylor Swift,Classical,38,0.10889331398103907,0.07566110390411085,0.9774962582088932,0.17735136165974286,3,0.8538659935252035,-9.686809014111653,0.6455114854786993,171.03463463086553,0.4071413845559114
One Dance (42),Billie Eilish,Dance,65,0.6365386467533544,0.36154139875403857,0.8078656456839812,0.0070429146241418605,5,0.14016543338273035,-14.322815392145715,0.39635617196747486,112.67410624773711,0.9879929924466168
One Dance (43),Ariana Grande,Classical,87,0.49823600049927297,0.09216795847243231,0.7374099443119462,0.8054960460322443,11,0.5441831489768018,-6.541421490835443,0.07783915311051404,129.87303650919316,0.7835560166424261
Skinny Love (44),Ed Sheeran,Pop,83,0.40667406999858313,0.5850784422062031,0.5370413147419743,0.076795684286734,2,0.00800814067378286,-25.330560217152275,0.3736346520927243,175.85653346436968,0.5750863613851153
Heat Waves (45),Dua Lipa,Dance,41,0.9530200211788992,0.22627525081659983,0.8399977606043434,0.4137060319100304,7,0.09509364771072948,-18.24176430634688,0.6887675159591515,153.47080055736978,0.11516391190452557
Heat Waves (46),Ariana Grande,Hip-Hop,43,0.5225397167320532,0.8956979631993723,0.3393228356557111,0.678887337188785,5,0.05421174420599306,-15.299872477069695,0.6709954611303159,154.7740385641692,0.4178115829015002
Skinny Love (47),Dua Lipa,Jazz,63,0.21911747946993843,0.7835000808452567,0.7088991127733161,0.23679758545618013,9,0.7254780340154869,-26.687715069698214,0.16019641320544276,105.23340044132276,0.26305151401193727
Heat Waves (48),Dua Lipa,R&B,82,0.45896347937729864,0.6997052060994762,0.9937839753781721,0.0839625634467267,4,0.08105956387760316,-17.41458871987449,0.007783970268967155,121.46981183051281,0.07100107950539025
As It Was (49),Dua Lipa,Indie,49,0.9193874045726727,0.6169440273845019,0.3146289089351988,0.7700212284558287,1,0.71645298155879,-20.504946622121388,0.7529816172961168,88.23421630967218,0.542204388719315
One Dance (50),Post Malone,Indie,45,0.17609547133059467,0.8634657303414633,0.6740175348839673,0.6301750848870414,9,0.24962470441058338,-28.93253562619612,0.10636816638524371,140.65258670505335,0.8891856998408761
Good as Hell (51),Travis Scott,R&B,99,0.2139570386882369,0.22306206154275687,0.8443148641523824,0.9884904844868048,9,0.8777129606969395,-25.897937918122942,0.0823491439642855,90.37301645424941,0.6755998681741251
Anti-Hero (52),Coldplay,Country,85,0.013029567757083749,0.8731088427642276,0.9158075833506722,0.3443080333199593,6,0.8131499883638141,-7.078895304975845,0.002701216834163467,163.5909582205955,0.24968038798051118
Bohemian Rhapsody (53),Taylor Swift,Pop,87,0.01419004939576718,0.7894922984240523,0.7179326909401018,0.0617623862901997,1,0.9578302174752765,-29.458862714860665,0.43260132595692724,161.45537870199968,0.5735846069537891
As It Was (54),Travis Scott,Classical,33,0.8293916269585125,0.7481608263876856,0.28360792341713625,0.7343500353352957,0,0.8837620154580319,-1.9724010271091679,0.5032639009008144,133.36051011223094,0.9432342833469689
Flowers (55),Dua Lipa,Hip-Hop,33,0.7321226068429558,0.561255678074924,0.32628215156894647,0.5217334188532456,6,0.9333294191163473,-27.407261026582876,0.6376640461485906,94.11660331970297,0.7229150529229353
As It Was (56),Harry Styles,Rock,49,0.35504105645195827,0.2462441609706001,0.02075803212396421,0.21320393138913507,4,0.8587423965133077,-6.022857173896256,0.29606384071258585,82.55789831951681,0.689473899406764
Good as Hell (57),Queen,Dance,39,0.6983111572275728,0.42354791599189634,0.7608859776715097,0.7817289890047594,0,0.6933819006148554,-3.0415037716958757,0.71042471638678,159.67086675425725,0.9681581662275163
Flowers (58),Ariana Grande,Pop,53,0.3952059263099702,0.7935706545388016,0.042739606061951374,0.20375548584994374,3,0.17025915212543596,-1.7659324544865846,0.16933185740694157,140.01404832134267,0.7988733111840248
Bohemian Rhapsody (59),The Weeknd,Dance,55,0.9528967959978275,0.031778484357324444,0.8646523546027457,0.2606616548329366,11,0.27170751885409294,-3.975689295120823,0.8319900531103473,151.09296367478834,0.13662354309875213
Good as Hell (60),The Beatles,Hip-Hop,66,0.9670526814260348,0.7820507692637583,0.1186606144745388,0.09252855436671914,3,0.2127269661302731,-21.3734988172367,0.5718483288904456,110.38071257363676,0.3476350869762014
Levitating (61),Travis Scott,Electronic,83,0.3927937758093434,0.2400707404875665,0.17187651213592425,0.39943227903085443,9,0.6035857876582056,-20.00738605984569,0.5838898233720484,130.94827378439146,0.9651407007376861
Anti-Hero (62),Ed Sheeran,Electronic,50,0.854221906340868,0.14430920072160303,0.4765264708322373,0.41892922393741894,6,0.5036199379736014,-17.20362904169772,0.20977541377910813,154.71741705396505,0.48970539419799786
Bohemian Rhapsody (63),Post Malone,Pop,67,0.7730890416974662,0.11570131818030216,0.7378804151687424,0.5145617903482984,8,0.8670799971584237,-25.821099317786974,0.07410874930038824,126.25633083137996,0.11163744532118536
One Dance (64),Billie Eilish,Jazz,75,0.3099999371717893,0.027250011950815112,0.1390022051990777,0.7089642671237775,1,0.9526728664990757,-29.331826347983284,0.46472480308067143,140.1384222768731,0.45860487967234187
Heat Waves (65),David Bowie,Hip-Hop,33,0.23203982890110597,0.5235864852214529,0.44007107506649845,0.9061009286804258,11,0.40485988961814434,-3.9263515715689614,0.615611951922359,158.97282618079623,0.6969932340708007
Levitating (66),Taylor Swift,Hip-Hop,89,0.45823465039283384,0.21825987269372948,0.4828512744101048,0.13773409888780863,0,0.5063505532808124,-13.37613851368631,0.0950464586616856,101.52206452663788,0.9975482216812411
Wonderwall (67),The Weeknd,R&B,86,0.7813488406144062,0.9894317657796315,0.21228564166859132,0.05434809834865706,1,0.9715163568041392,-11.73831173465351,0.9505344745281666,86.59288893574823,0.3239053165632019
Bohemian Rhapsody (68),Miley Cyrus,Jazz,74,0.9601677847287454,0.5744367558722058,0.11555837668063174,0.018531233594333285,6,0.27623894162314355,-2.19034575546614,0.9804143602328068,133.18235108108053,0.5140868748792737
Wonderwall (69),Drake,Classical,49,0.7635790688665726,0.13788526935601042,0.8364209229856395,0.14362137806881625,9,0.7923907753588136,-10.04639465659153,0.545456695392492,86.21257707200957,0.8796807046497939
Flowers (70),Harry Styles,Classical,46,0.85520698501837,0.6887625408113653,0.5024656497627655,0.6579494857816259,5,0.22523990233524627,-9.274394869805597,0.9500691552734062,156.65572943667533,0.3552672180573335
Levitating (71),David Bowie,Rock,33,0.6030643061705165,0.8977435665097253,0.014381235984152974,0.7274770779964966,3,0.681460115425272,-6.390940546897735,0.17944523758085307,151.92114476337886,0.10926155659085723
Anti-Hero (72),The Beatles,Indie,43,0.8354078308421259,0.7451794953696144,0.8029813013091038,0.7865057135281222,0,0.25361562763856416,-26.509546504277886,0.025420685179524893,168.17126714652971,0.948935875001504
One Dance (73),The Weeknd,Electronic,32,0.7844208580034177,0.07643986103944767,0.9807938054145848,0.24370821190434266,0,0.8837333888313869,-19.195135403586256,0.03940953529038993,143.95620980339606,0.4884408067135001
Skinny Love (74),David Bowie,Classical,87,0.3769855419262801,0.8958841811926596,0.6059261954142473,0.3058948132615199,4,0.5614779437366768,-0.9537621688990114,0.5875124794267791,86.71975707523738,0.5027837107719717
One Dance (75),The Weeknd,Jazz,84,0.5519903021207211,0.7939293858599648,0.5037083870840707,0.48313464556549945,0,0.18593364087438458,-2.312097656981802,0.06164188343682353,105.31521254896174,0.6212001446041822
Good as Hell (76),Ed Sheeran,Hip-Hop,33,0.8047531219896948,0.15830390010561435,0.8784158630449617,0.0631830968602265,11,0.22436917569848602,-3.4777411106944562,0.9585456068240871,160.79318445627194,0.003536623703224606
One Dance (77),Harry Styles,Classical,53,0.04605673418995637,0.051785888732816865,0.9525167896845986,0.6111415232112462,6,0.49384919570810026,-16.437344689830827,0.14193321075939858,96.71324173135878,0.9311311755688492
Sunroof (78),The Beatles,Hip-Hop,63,0.8080792823558299,0.5573105753143085,0.7545369159024605,0.9837350336757578,10,0.9616020255748788,-4.284211392395829,0.30472280605297863,149.84804678148873,0.3614510847745417
Uptown Funk (79),Miley Cyrus,Classical,59,0.17788812404902343,0.1560358113399769,0.44545292973428785,0.36080631137800256,0,0.7696421638836545,-28.54812354162703,0.8225178019983485,158.0259330920478,0.39693186238434863
Skinny Love (80),Dua Lipa,Electronic,48,0.514683617121439,0.834590952595272,0.5922213993314405,0.7528474750913839,0,0.4883096428258451,-25.54447727228648,0.21874032310409308,113.01117978552412,0.17410924753323498
As It Was (81),Ariana Grande,Dance,60,0.8082754395559376,0.35833465667167375,0.7009353650179992,0.500033915569608,1,0.3377191445622171,-17.580969045478376,0.2429684584545706,112.22974734029086,0.37815161329246105
Heat Waves (82),Miley Cyrus,Classical,89,0.25382107815669486,0.9128924447365754,0.19427357100180143,0.12781184436038273,10,0.5492684933484426,-15.498237999536208,0.6423089557910182,135.78026812091468,0.8039435307760521
Blinding Lights (83),Dua Lipa,Jazz,89,0.245807439306153,0.5656881721410058,0.44720103221643803,0.5822374488025863,11,0.7483608334286197,-22.094785394374295,0.2760860884892623,166.12863327547637,0.7999916725555348
Anti-Hero (84),Drake,Classical,48,0.40276439846225187,0.18267238423966814,0.829821264717285,0.29987426844406495,9,0.7839285884528,-19.30569987456638,0.21744763400770029,102.39062019134806,0.9357968408954528
Levitating (85),Post Malone,Indie,78,0.8946427975776345,0.1395988673598001,0.654725348498443,0.034403208453458234,2,0.32460879809694465,-25.116716969238936,0.2541777143056575,174.12581960424026,0.4032294726807958
Uptown Funk (86),Coldplay,Electronic,92,0.0004427814372078842,0.5764724375577539,0.4112040672118541,0.6349297301177438,10,0.7211592682138772,-15.325979048522784,0.4906474993407268,139.91186848201082,0.7087215037485843
Anti-Hero (87),Coldplay,Jazz,51,0.9013830966419349,0.7618836118624439,0.6633625340146814,0.8589323493247276,0,0.6577887800361861,-6.184701213964161,0.9660998727314821,179.2126471352276,0.5072375552075571
Levitating (88),Coldplay,R&B,53,0.15380702464160778,0.7815056477421821,0.11822241207245987,0.34476976689987415,8,0.9591122919962939,-10.15918819016083,0.8322379415612283,88.96137239953227,0.804022789519131
Heat Waves (89),Taylor Swift,Jazz,59,0.9900863760674821,0.2757574044412813,0.4014976105648763,0.3902955472127705,9,0.9310902905080148,-26.766232579033762,0.28461026456017713,92.65621365067591,0.7125420091329969
Shut Up and Dance (90),Travis Scott,Indie,87,0.9548469930384681,0.20424675891216748,0.7931285379630564,0.8910216829672115,7,0.789379325603577,-15.372551898098518,0.36337320849809773,162.66418037134827,0.36790292528627566
Shut Up and Dance (91),Queen,Dance,60,0.4946751895912833,0.016756304492382412,0.220508787136648,0.8136088133673559,4,0.7233946888549284,-9.070608516608253,0.4645122505040774,166.47558956038492,0.33667383425369246
Wonderwall (92),Billie Eilish,Electronic,93,0.5127202478126281,0.6791991512011694,0.1859615075574177,0.7149528235517771,10,0.27404158970427583,-14.103141103381764,0.9789296470169904,124.5458688370934,0.2524424630279676
Anti-Hero (93),Billie Eilish,R&B,48,0.4815493402758543,0.07656825843353898,0.9508186599164314,0.24879706375314792,1,0.8459652560985333,-18.249732103933532,0.1723904683357157,151.4071176142335,0.5765157904886378
Shut Up and Dance (94),Travis Scott,Indie,77,0.6354436456595226,0.4207612017659258,0.2098976295862307,0.9102166549666445,4,0.42750570371336616,-11.342567361483653,0.35748310349188284,166.75572874455383,0.9638428515938595
Sunroof (95),Coldplay,Indie,74,0.09072170223493103,0.6016821640182961,0.26091857965016807,0.154415757539213,5,0.2722405425060447,-0.9408400409917341,0.729426093982715,84.31277882188287,0.200066737617566
Skinny Love (96),Ariana Grande,Pop,84,0.032617948341566505,0.937108944919677,0.969615938904338,0.6267705194172218,0,0.3841607579534625,-27.15276270701766,0.9639437342689433,137.39504229932587,0.09525245490432521
Levitating (97),The Beatles,Electronic,84,0.05770292841589886,0.31180213695576864,0.7347085702650257,0.0288011805465187,10,0.8359354900165079,-18.29951817757318,0.15567521276423768,165.34806665264895,0.11940064207631362
Wonderwall (98),Harry Styles,Jazz,47,0.4443653492415144,0.24977216244651979,0.6995965330235282,0.6437198063249459,3,0.148633215577885,-17.80182440861713,0.22737995419434576,119.8154944584775,0.78309867625015
One Dance (99),The Beatles,Hip-Hop,92,0.2755479392194834,0.6541601542860984,0.8529263838545813,0.27714435187335984,8,0.45615874111982246,-12.690980685948869,0.22569467439043023,110.23836061124268,0.3501048042845637
Levitating (100),Harry Styles,Dance,76,0.6220395623709938,0.6192390320535817,0.11582308223679427,0.44967697718372,1,0.4923575945294897,-25.434761943542462,0.02093202949207351,159.57066850948377,0.2243668276923797
Wonderwall (101),The Beatles,Hip-Hop,86,0.992442289374779,0.3321097833081246,0.7059562365800072,0.3452645520570531,4,0.0366296975988194,-24.700709103885913,0.6041156249809495,113.57865835028362,0.35284411837350005
Heat Waves (102),Queen,Jazz,74,0.3863231730764659,0.9281018355097865,0.5036886093282389,0.1727567562462099,0,0.19574602954816533,-21.43915842006436,0.6707030741458938,80.31742981845032,0.6453308128295218
Anti-Hero (103),Taylor Swift,Jazz,62,0.5738412541045134,0.8448623274896327,0.8291506402841399,0.6219807900938741,3,0.8267424285758564,-1.3238987019444153,0.6025258901252534,175.95725876290658,0.5467871248282837
Heat Waves (104),Taylor Swift,Electronic,46,0.4156038959073355,0.22398254586508115,0.5081417186651943,0.8819755551406074,3,0.8307673885947606,-7.976742563072921,0.07132298941281434,139.21232363510185,0.743589406521226
Skinny Love (105),Coldplay,Jazz,99,0.8472716677218594,0.23914254543452318,0.6202413542689121,0.9590842422824034,5,0.292415083884248,-10.149200949254904,0.0692301257456317,161.95179187100712,0.3390741484817763
Skinny Love (106),Drake,Pop,33,0.9022364034622381,0.5123003468870806,0.47774212639953595,0.19234636315391507,9,0.8748972345979262,-5.4912693781721345,0.21038655449412402,162.53015623427146,0.4520285734646854
Uptown Funk (107),Dua Lipa,R&B,49,0.87735561220526,0.7735721017307203,0.4781589235558441,0.7173727740629734,8,0.7717829390683478,-26.172705932499213,0.2902945156989146,86.64104203727328,0.1019683689629235
Heat Waves (108),Drake,Jazz,76,0.9743722386792576,0.04404037938846439,0.7679699780618315,0.6643393666056823,2,0.41790748379540943,-4.220015408287452,0.7865436559100474,97.08601993864647,0.07305864603278145
Good as Hell (109),David Bowie,Hip-Hop,44,0.027519185140415292,0.6933351537347067,0.6285664006472832,0.34337778957457255,8,0.7484063444050378,-12.15501858337488,0.15939026574892112,111.11206807596474,0.46225524284410047
One Dance (110),Taylor Swift,Jazz,99,0.839816162145531,0.648235897382097,0.6332632016094104,0.019099199353725838,5,0.9613346311948062,-19.940129776231934,0.044092216397532136,112.06992850413229,0.30159660744592354
Bohemian Rhapsody (111),Taylor Swift,Pop,76,0.7517721730390933,0.23148009591298824,0.4502824838315258,0.6897912473128661,6,0.4589697180653488,-5.524342327629288,0.39398750771305513,145.87861176809128,0.6128005721361308
Heat Waves (112),Miley Cyrus,Classical,38,0.22869440940036478,0.6813530132413488,0.5311094963375276,0.9454948605595002,11,0.23842717895348364,-5.923063969541278,0.4163921701419203,142.31329207526846,0.043002165444571916
Uptown Funk (113),Miley Cyrus,Classical,45,0.9563200933875275,0.9401831912520826,0.7457176662047873,0.6321201219156514,9,0.9418165000501558,-4.628742548498185,0.45090733818895423,129.45897780098136,0.12176637759956543
Flowers (114),Dua Lipa,Indie,98,0.14817792822994547,0.04678584497176852,0.8259409191119182,0.4352927241876341,1,0.6037442885632565,-26.534462996790534,0.8269035440269685,101.1263732308768,0.8651908111063952
Sunroof (115),Ed Sheeran,Dance,90,0.6795499271339084,0.31965205529206253,0.6965614021440462,0.5251538941116284,10,0.10526516248042528,-0.9191626501267187,0.09800541487094172,118.19834696903034,0.5663116215191045
Levitating (116),David Bowie,Rock,39,0.22489021681591248,0.43817671666635527,0.9240729888456831,0.19962880765991753,9,0.5726828158566895,-1.2112153863080657,0.7039420824219621,134.35939684651694,0.7120545336912272
Skinny Love (117),Drake,R&B,79,0.43138064877407467,0.8992603589246896,0.8203240881472009,0.7505441637537376,5,0.5005808894482987,-19.275910634947756,0.33794557104529077,126.7985366103942,0.8419721187072957
Flowers (118),Ariana Grande,Country,32,0.7191598969445689,0.9622614466091567,0.5618637898095185,0.746419830009849,5,0.8555888940755634,-28.02317945364241,0.30998013643546996,92.72925330950784,0.4638343429500522
Uptown Funk (119),Miley Cyrus,Indie,99,0.5633246420330467,0.44411524649633227,0.6714060726437369,0.14551730038742494,1,0.5306951897635214,-24.98832991593643,0.9325431260859799,144.95104935019236,0.7610603839674761
Wonderwall (120),Ariana Grande,Dance,80,0.4275018313281117,0.7500284121421912,0.926308276921196,0.8779783824996591,1,0.25523243434428344,-0.21507523665908934,0.24846852441674205,87.30517768106606,0.5245855790735243
Bohemian Rhapsody (121),The Weeknd,Classical,48,0.3263384309319872,0.531661023764483,0.6191680442430584,0.26918973947330527,1,0.6756440638648885,-13.10961170485011,0.6425318353393663,117.81946830810803,0.22274877027370388
One Dance (122),Miley Cyrus,Hip-Hop,71,0.8396596557087903,0.5377829347413765,0.8248069479798307,0.9822560609366149,9,0.5425754525355801,-19.301346035218437,0.2751277573760921,151.0029347675229,0.3376561688009395
One Dance (123),Queen,Country,64,0.1438143503148137,0.27809951506635644,0.6888105035899871,0.3829030140372458,11,0.23304462826687244,-21.353919184498835,0.5071438826403851,82.00235345197065,0.49035044105566084
One Dance (124),Ed Sheeran,Dance,75,0.43010287652980006,0.21695624586387952,0.5519363610604665,0.17788405873449964,0,0.5736278579429078,-22.290247940671573,0.7862928925962779,136.9982819045316,0.31688555217227077
Sunroof (125),David Bowie,Dance,55,0.9037575717751422,0.28800534592404115,0.24183819541535312,0.3517201113456523,4,0.8215355778896861,-10.075417048365537,0.8817225235162606,113.45209741432973,0.33552769134989835
Bohemian Rhapsody (126),Post Malone,Indie,98,0.8458495504599677,0.5563280072570793,0.4259975194684281,0.44018032869719315,7,0.028570917724010436,-17.41836505440942,0.8386972402950503,80.88318434227345,0.3373928312487664
Sunroof (127),Dua Lipa,Country,93,0.4009417624730467,0.029155186022088997,0.9677428248337157,0.06930777303829483,1,0.6308510386451117,-1.0376790189416525,0.5821807361446398,99.03832710609719,0.12283997885710418
Skinny Love (128),The Weeknd,Electronic,66,0.7631083636013083,0.9072489443564058,0.6577653832726,0.5782183812232895,4,0.34958519578439207,-9.484709080639156,0.24881631533822213,174.09461932706546,0.08464260721225136
Sunroof (129),Post Malone,Rock,78,0.8231608307088593,0.15628370954977622,0.5643953803389896,0.5976324398689004,11,0.29267144575942416,-6.238662268531165,0.6612333832618658,132.11489055050905,0.046496039691304336
Blinding Lights (130),David Bowie,Electronic,50,0.8888874240036297,0.22008867687138656,0.9329566255282273,0.7389304553494722,7,0.39258775036111127,-21.2177535425052,0.709905045779608,179.72272046291317,0.11095626103433676
Bohemian Rhapsody (131),Drake,Country,93,0.544505769049228,0.5182761764476463,0.5865117810374487,0.029169892290743293,9,0.34202266424798167,-27.624407726741225,0.010691990113501415,132.48167503647412,0.343707092135618
Good as Hell (132),Coldplay,Electronic,34,0.2044608860547118,0.7101147663372793,0.526082518417403,0.5412382144338301,4,0.8322391067084416,-15.365314878543568,0.4392105109318746,134.39364122902683,0.5938718057830571
